subdomain_id,domain_id,subdomain_code,subdomain_name,subdomain_title,sort_order
165c91c1-ca4b-4402-ae4b-2a734bfbc046,070783b1-34c7-45a1-916e-ca73b6cb8ae5,8.1,Workforce Development Strategy,8.1 Workforce Development Strategy,35
51861fa6-d2e5-443b-85dc-00524737d7ee,070783b1-34c7-45a1-916e-ca73b6cb8ae5,8.2,Learning Design and Delivery,8.2 Learning Design and Delivery,36
c0ebd9f4-782d-4566-b8ce-9592c9b0901e,070783b1-34c7-45a1-916e-ca73b6cb8ae5,8.3,Accreditation and recognition,8.3 Accreditation and recognition,37
ba21149d-db75-4ae6-9798-bdef9aed7e1c,070783b1-34c7-45a1-916e-ca73b6cb8ae5,8.4,Personal growth and development (Lifelong Learning),8.4 Personal growth and development (Lifelong Learning),38
d5b8e641-d3ab-44e6-ae46-544f4eac9af9,070783b1-34c7-45a1-916e-ca73b6cb8ae5,8.5,Digital Education (use technology for teaching/learning),8.5 Digital Education (use technology for teaching/learning),39
5b606eb0-7d63-4dfc-99e3-98eff254f78c,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.1,Research strategy / conceptualization,9.1 Research strategy / conceptualization,40
c32859be-f302-443d-aa4b-bf8490244598,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.2,Data Science,9.2 Data Science,41
2f7f8d6c-5e81-4d92-af0a-fdd30272440e,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.3,Research Evaluation & Validation,9.3 Research Evaluation & Validation,42
578a150a-d845-4a03-b636-f8ab6a35a444,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.4,Digital health implementation research,9.4 Digital health implementation research,43
cf49ba3d-4791-4608-b1f5-8fd8459b07fa,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.5,Evidence synthesis,9.5 Evidence synthesis,44
274bb364-82e7-49cd-b7e1-c06da144e98d,0d828f62-b74a-412c-a58c-5d8a4a47a985,9.6,Research Communication and Dissemination,9.6 Research Communication and Dissemination,45
